date,datetime,SACTMIN,SPOSTMIN,weekday,day_name
2017-06-13,2017-06-12 22:19:36,85.0,,2,Tuesday
2017-06-13,2017-06-13 17:58:57,108.0,,2,Tuesday
2017-06-13,2017-06-13 18:03:44,129.0,,2,Tuesday
2017-06-13,2017-06-13 19:18:15,112.0,,2,Tuesday
2017-06-13,2017-06-13 20:35:17,91.0,,2,Tuesday
2017-06-13,2017-06-13 23:39:54,84.0,,2,Tuesday
2017-06-14,2017-06-14 18:59:44,147.0,,3,Wednesday
2017-06-14,2017-06-14 21:13:07,92.0,,3,Wednesday
2017-06-14,2017-06-14 21:44:10,86.0,,3,Wednesday
2017-06-15,2017-06-15 15:37:24,133.0,,4,Thursday
2017-06-15,2017-06-15 22:08:53,61.0,,4,Thursday
2017-06-16,2017-06-16 08:44:02,6.0,,5,Friday
2017-06-16,2017-06-16 13:02:49,99.0,,5,Friday
2017-06-16,2017-06-16 14:03:53,117.0,,5,Friday
2017-06-16,2017-06-16 17:22:39,49.0,,5,Friday
2017-06-16,2017-06-16 21:42:31,107.0,,5,Friday
2017-06-16,2017-06-16 22:39:27,132.0,,5,Friday
2017-06-17,2017-06-17 07:07:27,13.0,,6,Saturday
2017-06-17,2017-06-17 08:08:09,66.0,,6,Saturday
2017-06-17,2017-06-17 08:08:11,66.0,,6,Saturday
2017-06-17,2017-06-17 09:20:23,15.0,,6,Saturday
2017-06-17,2017-06-17 10:29:17,5.0,,6,Saturday
2017-06-17,2017-06-17 10:29:21,5.0,,6,Saturday
2017-06-17,2017-06-17 10:36:52,87.0,,6,Saturday
2017-06-17,2017-06-17 11:13:26,122.0,,6,Saturday
2017-06-17,2017-06-17 11:13:31,122.0,,6,Saturday
2017-06-17,2017-06-17 11:18:14,132.0,,6,Saturday
2017-06-17,2017-06-17 16:34:35,44.0,,6,Saturday
2017-06-17,2017-06-17 16:34:46,44.0,,6,Saturday
2017-06-17,2017-06-17 17:47:48,48.0,,6,Saturday
2017-06-17,2017-06-17 18:26:20,56.0,,6,Saturday
2017-06-17,2017-06-17 18:26:31,55.0,,6,Saturday
2017-06-17,2017-06-17 23:18:51,90.0,,6,Saturday
2017-06-18,2017-06-18 08:04:45,54.0,,7,Sunday
2017-06-18,2017-06-18 14:49:39,115.0,,7,Sunday
2017-06-18,2017-06-18 19:45:25,136.0,,7,Sunday
2017-06-18,2017-06-18 23:43:08,77.0,,7,Sunday
2017-06-19,2017-06-19 07:07:23,29.0,,1,Monday
2017-06-19,2017-06-19 07:48:16,61.0,,1,Monday
2017-06-19,2017-06-19 07:59:30,86.0,,1,Monday
2017-06-19,2017-06-19 19:23:22,63.0,,1,Monday
2017-06-19,2017-06-19 20:22:38,93.0,,1,Monday
2017-06-19,2017-06-19 21:16:59,76.0,,1,Monday
2017-06-19,2017-06-19 21:40:37,69.0,,1,Monday
2017-06-19,2017-06-19 23:44:31,70.0,,1,Monday
2017-06-19,2017-06-19 23:53:09,70.0,,1,Monday
2017-06-20,2017-06-20 07:48:30,39.0,,2,Tuesday
2017-06-20,2017-06-20 07:56:39,41.0,,2,Tuesday
2017-06-20,2017-06-20 08:07:47,70.0,,2,Tuesday
2017-06-20,2017-06-20 11:23:25,137.0,,2,Tuesday
2017-06-20,2017-06-20 14:15:16,78.0,,2,Tuesday
2017-06-20,2017-06-20 15:53:16,96.0,,2,Tuesday
2017-06-20,2017-06-20 16:26:03,75.0,,2,Tuesday
2017-06-20,2017-06-20 19:20:17,81.0,,2,Tuesday
2017-06-20,2017-06-20 19:35:26,80.0,,2,Tuesday
2017-06-20,2017-06-20 21:19:54,99.0,,2,Tuesday
2017-06-20,2017-06-20 21:35:07,82.0,,2,Tuesday
2017-06-21,2017-06-21 21:37:46,60.0,,3,Wednesday
2017-06-22,2017-06-22 13:30:03,63.0,,4,Thursday
2017-06-22,2017-06-22 14:57:58,47.0,,4,Thursday
2017-06-22,2017-06-22 15:02:00,53.0,,4,Thursday
2017-06-22,2017-06-22 16:36:07,81.0,,4,Thursday
2017-06-22,2017-06-22 17:11:15,82.0,,4,Thursday
2017-06-22,2017-06-22 20:45:20,84.0,,4,Thursday
2017-06-22,2017-06-22 20:57:05,105.0,,4,Thursday
2017-06-23,2017-06-23 08:07:56,136.0,,5,Friday
2017-06-23,2017-06-23 09:59:58,130.0,,5,Friday
2017-06-23,2017-06-23 13:42:30,62.0,,5,Friday
2017-06-23,2017-06-23 17:07:38,89.0,,5,Friday
2017-06-23,2017-06-23 17:19:30,86.0,,5,Friday
2017-06-23,2017-06-23 21:10:58,87.0,,5,Friday
2017-06-23,2017-06-23 21:27:23,79.0,,5,Friday
2017-06-23,2017-06-23 22:50:39,71.0,,5,Friday
2017-06-23,2017-06-23 23:03:10,67.0,,5,Friday
