date,avg_weekly_wait
2019-07-22,17.857142857142858
2019-07-29,18.571428571428573
2019-08-05,27.857142857142858
2019-08-12,13.571428571428571
2019-08-19,12.857142857142858
2019-08-26,10.714285714285714
2019-09-02,8.571428571428571
2019-09-09,8.571428571428571
2019-09-16,11.428571428571429
2019-09-23,28.571428571428573
2019-09-30,22.857142857142858
2019-10-07,12.142857142857142
2019-10-14,41.42857142857143
2019-10-21,25.0
2019-10-28,14.285714285714286
2019-11-04,25.714285714285715
2019-11-11,42.857142857142854
2019-11-18,45.714285714285715
2019-11-25,37.142857142857146
2019-12-02,55.0
2019-12-09,36.42857142857143
2019-12-16,27.857142857142858
2019-12-23,31.428571428571427
2019-12-30,43.57142857142857
2020-01-06,51.42857142857143
2020-01-13,26.428571428571427
2020-01-20,41.42857142857143
2020-01-27,40.714285714285715
2020-02-03,32.857142857142854
2020-02-10,37.857142857142854
2020-02-17,29.285714285714285
2020-02-24,40.0
2020-03-02,30.0
2020-03-09,23.571428571428573
2020-07-10,17.142857142857142
2020-07-17,5.0
2020-11-04,16.428571428571427
2020-11-11,25.0
2020-11-18,31.428571428571427
2020-11-25,29.285714285714285
2020-12-02,26.428571428571427
2020-12-09,37.857142857142854
2020-12-16,35.714285714285715
2020-12-23,47.857142857142854
2020-12-30,41.42857142857143
2021-07-06,34.285714285714285
2021-07-13,42.142857142857146
2021-07-20,41.42857142857143
2021-07-27,30.0
2021-08-03,25.714285714285715
2021-08-10,22.857142857142858
2021-08-17,13.571428571428571
2021-08-24,8.571428571428571
2021-08-31,5.714285714285714
